File name	Line	Function	Duration[ms]	Explored nodes
E:\Risther2020\CICLO VII\Calidad y Pruebas de Software\U1\SistemaVeterinaria\SistemaVeterinaria\Entidades\ClsEAgenda.cs	28	_SistemaVeterinaria.Entidades.ClsEAgenda.Save$string.string.string.string.string.string.string$	0	2
E:\Risther2020\CICLO VII\Calidad y Pruebas de Software\U1\SistemaVeterinaria\SistemaVeterinaria\Entidades\ClsEAgenda.cs	45	_SistemaVeterinaria.Entidades.ClsEAgenda.Update$string.string.string.string.string.string$	0	3
E:\Risther2020\CICLO VII\Calidad y Pruebas de Software\U1\SistemaVeterinaria\SistemaVeterinaria\Entidades\ClsEAgenda.cs	55	_SistemaVeterinaria.Entidades.ClsEAgenda.Search$$	0	2
E:\Risther2020\CICLO VII\Calidad y Pruebas de Software\U1\SistemaVeterinaria\SistemaVeterinaria\Entidades\ClsEClientes.cs	34	_SistemaVeterinaria.Entidades.ClsEClientes.Save$string.string.string.string.string.string$	0	2
E:\Risther2020\CICLO VII\Calidad y Pruebas de Software\U1\SistemaVeterinaria\SistemaVeterinaria\Entidades\ClsEClientes.cs	48	_SistemaVeterinaria.Entidades.ClsEClientes.Update$string.string.string.string.string.string$	0	2
E:\Risther2020\CICLO VII\Calidad y Pruebas de Software\U1\SistemaVeterinaria\SistemaVeterinaria\Entidades\ClsEClientes.cs	53	_SistemaVeterinaria.Entidades.ClsEClientes.Search$string$	0	2
E:\Risther2020\CICLO VII\Calidad y Pruebas de Software\U1\SistemaVeterinaria\SistemaVeterinaria\Entidades\ClsEClientes.cs	57	_SistemaVeterinaria.Entidades.ClsEClientes.Delete$string$	0	2
E:\Risther2020\CICLO VII\Calidad y Pruebas de Software\U1\SistemaVeterinaria\SistemaVeterinaria\Entidades\ClsEEmpleados.cs	20	_SistemaVeterinaria.Entidades.ClsEEmpleados.Save$string.string.string.string.string.string.string.string$	0	2
E:\Risther2020\CICLO VII\Calidad y Pruebas de Software\U1\SistemaVeterinaria\SistemaVeterinaria\Entidades\ClsEEmpleados.cs	36	_SistemaVeterinaria.Entidades.ClsEEmpleados.Update$string.string.string.string.string.string.string.string$	0	3
E:\Risther2020\CICLO VII\Calidad y Pruebas de Software\U1\SistemaVeterinaria\SistemaVeterinaria\Entidades\ClsEEmpleados.cs	48	_SistemaVeterinaria.Entidades.ClsEEmpleados.Search$$	0	2
